DateTime,Actual Power (kW),Adjusted Baseline Power (kW),Savings Power (kW),Savings Energy (kWh),Cumulative Savings Energy (kWh),Negative Savings Flag,TOU Period,TOU Rate (RM/kWh),TOU Cost Savings (RM),Cumulative TOU Cost Savings (RM),Negative TOU Savings Flag
2025-09-28 20:30:00,381.8,2748.9512,2367.1512,1183.5756,12911829.489564205,0,mid,0.357,422.53648919999995,4171467.2022786643,0
2025-09-28 21:00:00,387.2,2748.8916,2361.6916,1180.8458,12913010.335364204,0,mid,0.357,421.5619506,4171888.764229264,0
2025-09-28 21:30:00,373.4,2746.6208,2373.2208,1186.6104,12914196.945764204,0,mid,0.357,423.6199128,4172312.384142064,0
2025-09-28 22:00:00,415.0,2757.1604,2342.1604,1171.0802,12915368.025964204,0,offpeak,0.281,329.07353620000004,4172641.457678264,0
2025-09-28 22:30:00,410.2,2756.0857,2345.8857000000003,1172.94285,12916540.968814204,0,offpeak,0.281,329.59694085,4172971.054619114,0
2025-09-28 23:00:00,434.6,2743.8364,2309.2364,1154.6182,12917695.587014204,0,offpeak,0.281,324.4477142,4173295.5023333137,0
2025-09-28 23:30:00,380.2,2742.322,2362.1220000000003,1181.061,12918876.648014205,0,offpeak,0.281,331.878141,4173627.3804743136,0
2025-09-29 00:00:00,380.8,2741.3354,2360.5354,1180.2677,12920056.915714204,0,offpeak,0.281,331.6552237000001,4173959.035698014,0
2025-09-29 00:30:00,382.4,2741.387,2358.987,1179.4935,12921236.409214204,0,offpeak,0.281,331.4376735,4174290.4733715137,0
2025-09-29 01:00:00,361.6,2734.8816,2373.2816000000003,1186.6408,12922423.050014203,0,offpeak,0.281,333.4460648,4174623.9194363137,0
2025-09-29 01:30:00,308.8,2731.779,2422.979,1211.4895,12923634.539514204,0,offpeak,0.281,340.42854950000003,4174964.347985814,0
2025-09-29 02:00:00,357.6,2742.4617,2384.8617,1192.43085,12924826.970364202,0,offpeak,0.281,335.07306885,4175299.421054664,0
2025-09-29 02:30:00,426.8,2742.9336,2316.1336,1158.0667999999998,12925985.037164202,0,offpeak,0.281,325.4167708,4175624.837825464,0
2025-09-29 03:00:00,333.6,2744.1897,2410.5897,1205.29485,12927190.3320142,0,offpeak,0.281,338.68785285,4175963.5256783143,0
2025-09-29 03:30:00,339.2,2742.7786,2403.5786000000003,1201.7893,12928392.121314202,0,offpeak,0.281,337.7027933,4176301.2284716144,0
2025-09-29 04:00:00,343.0,2737.9595,2394.9595,1197.47975,12929589.6010642,0,offpeak,0.281,336.49180975,4176637.7202813644,0
2025-09-29 04:30:00,348.6,2748.0493,2399.4493,1199.72465,12930789.3257142,0,offpeak,0.281,337.1226266500001,4176974.8429080145,0
2025-09-29 05:00:00,339.2,2750.1282,2410.9282000000003,1205.4641,12931994.7898142,0,offpeak,0.281,338.7354121,4177313.5783201144,0
2025-09-29 05:30:00,321.4,2752.0168,2430.6168,1215.3084,12933210.0982142,0,offpeak,0.281,341.5016604,4177655.0799805145,0
2025-09-29 06:00:00,351.2,2756.2014,2405.0014,1202.5007,12934412.5989142,0,offpeak,0.281,337.90269670000004,4177992.9826772143,0
2025-09-29 06:30:00,383.2,2748.5173,2365.3173,1182.65865,12935595.2575642,0,offpeak,0.281,332.32708065,4178325.309757864,0
